species	SD	H	DBH	Dwood			
Croton_blanchetianus	abiotic	5	10.2	0.743			
Cupania_emarginata	biotic	4	6.8	0.608357			
Cupania_impressinervia	biotic	12	8.28	0.64			
Cupania_oblongifolia	biotic	15	6	0.67			
Cupania_racemosa	biotic	6	7.64	0.64			
Curatella_americana	biotic	8.3	29.75	0.65			
Dialium_guianense	biotic	36.5	49.38	0.89			
Dimorphandra_jorgei	biotic	30	56	0.787071			
Duguetia_gardneriana	biotic	12	15	0.79			
Duguetia_moricandiana	biotic	6	10	0.72885			
Ecclinusa_ramiflora	biotic	8.25	16.12	0.961			
Emmotum_affine	biotic	26	70	0.82825			
Emmotum_nitens	biotic	6.83	31.71	0.93			
Enterolobium_contortisiliquum	abiotic	27	36.02	0.39			
Enterolobium_timbouva	abiotic	10	15.3	0.53			
Eremanthus_capitatus	abiotic	23.75	64	0.68			
Eriotheca_macrophylla	abiotic	23	99.87	0.437619			
Erythrina_velutina	biotic	8	20.69	0.289051			
Erythroxylum_affine	biotic	5	40	0.7896			
Erythroxylum_andrei	biotic	3.5	7	0.789611			
Erythroxylum_caatingae	biotic	6	40	0.789611			
Erythroxylum_citrifolium	biotic	10	60.3	0.71			
Erythroxylum_mucronatum	biotic	6	3.8	0.81			
Erythroxylum_nobile	biotic	16.19	40	0.789611			
Erythroxylum_passerinum	biotic	5	8	0.789611			
Erythroxylum_pulchrum	biotic	8	40	1.071			
Erythroxylum_revolutum	biotic	3	6	0.853			
Erythroxylum_squamatum	biotic	9	8.7	0.71			
Erythroxylum_subrotundum	biotic	18	40	0.789611			
Eschweilera_ovata	abiotic	13	22.35	0.9			
Esenbeckia_grandiflora	abiotic	13.78	20	1.07			
Faramea_hyacinthina	biotic	2	5	0.584			
Ficus_bahiensis	biotic	20	19.4	0.405535			
Ficus_clusiifolia	biotic	15	50	0.405535			
Garcinia_macrophylla	biotic	9	68.24	0.77			
Genipa_americana	biotic	8.41	22.94	0.62			
Goniorrhachis_marginata	abiotic	25	10	1.01			
Guapira_obtusata	biotic	7.31	9.68	0.670778			
Guapira_opposita	biotic	8	6.65	0.83			
Guarea_guidonia	biotic	9.5	16.93	0.56			
Guarea_macrophylla	biotic	9.78	54.79	0.64			
Guatteria_pogonopus	biotic	7	30	0.577093			
Guazuma_ulmifolia	biotic	11.12	16.7	0.52			
Guettarda_angelica	biotic	2.5	3.43	0.65			
Guettarda_platyphylla	biotic	3	12.9	0.7275			
Guettarda_viburnoides	biotic	3	7.75	0.73			
Gymnanthes_klotzschiana	biotic	4	10	1.1			
Hancornia_speciosa	biotic	3	9.54	1.19			
Handroanthus_impetiginosus	abiotic	13.4	15.74	0.91			
Handroanthus_serratifolius	abiotic	8.14	16.1	0.92			
Handroanthus_spongiosus	abiotic	8	22.3	1.08			
Heisteria_perianthomega	biotic	5	16.9	0.69625			
Helicteres_vuarame	abiotic	3.106	3	0.39			
Henriettea_succosa	biotic	5	20	0.759934208			
Himatanthus_bracteatus	abiotic	8	12.29	0.53			
Himatanthus_obovatus	abiotic	6	15	0.73			
Hirtella_ciliata	biotic	8	5.72	0.82			
Hirtella_racemosa	biotic	9	9.8	0.88			
Humiria_balsamifera	biotic	7.88	77.53	0.73			
Hymenaea_courbaril	biotic	12.52	48.18	0.78			
Hymenaea_rubriflora	biotic	10	15.4	0.801677			
Hymenolobium_alagoanum	abiotic	3	8	0.642208			
Ilex_affinis	biotic	30.5	41	0.51			
Inga_capitata	biotic	7.38	29.58	0.59			
Inga_cayennensis	biotic	6.5	12.45	0.64			
Inga_laurina	biotic	10.9	30.79	0.665			
Inga_marginata	biotic	27	64	0.44			
Inga_striata	biotic	16.4	19.65	0.6			
Inga_subnuda	biotic	7	23.28	0.62			
Inga_tenuis	biotic	5	20	0.578087			
Inga_thibaudiana	biotic	8.94	20.91	0.53			
Inga_vera	biotic	11	17.68	0.57			
Jacaranda_brasiliana	biotic	15	39	0.65			
Jacaranda_jasminoides	biotic	36.25	94	0.472542			
Jacaranda_obovata	biotic	4.5	30	0.6			
Jatropha_mollissima	biotic	3	4.32	0.341			
Jatropha_mutabilis	biotic	2	13.8	0.422			
Laguncularia_racemosa	abiotic	9.7536	9.398	0.62			
